id,name,state,10-14,15-19,20-24,25-29,30-34,35-39,40-49,5-9,50-59,60-69,70-79,80+,latitude,longitude
59,Barnala ,PUNJAB ,37,40,40,35,30,27,48,34,32,25,12,6,0.530063,1.318477
60,Barpeta ,ASSAM ,87,68,67,63,52,49,75,95,46,28,13,6,0.459389,1.588273
61,Barwani  ,MADHYA PRADESH ,34,24,21,18,16,15,23,36,14,9,3,1,0.384575,1.307340
62,Bastar ,CHHATTISGARH ,15,13,12,11,9,9,15,15,9,5,2,0,0.335129,1.429966
63,Basti ,UTTAR PRADESH ,123,105,75,63,57,55,80,122,56,50,20,7,0.467691,1.444113
64,Bathinda ,PUNJAB ,37,41,43,38,32,29,50,33,32,26,11,5,0.527233,1.308182
65,Baudh ,ODISHA ,16,13,11,11,10,10,15,14,10,8,3,1,0.361701,1.468452
66,Begusarai ,BIHAR ,214,138,128,120,107,95,132,223,84,73,26,9,0.443611,1.503351
67,Belgaum ,KARNATAKA ,35,34,33,29,25,26,41,33,27,22,9,3,0.276900,1.300422
68,Bellary ,KARNATAKA ,30,30,29,27,21,20,30,29,19,13,5,2,0.264304,1.342629
69,Betul ,MADHYA PRADESH ,17,17,15,12,10,10,18,15,11,7,3,1,0.382354,1.359641
70,Bhadrak ,ODISHA ,64,58,56,52,44,42,70,55,46,31,18,6,0.367624,1.509800
71,Bhagalpur ,BIHAR ,155,110,95,89,80,74,107,166,69,57,20,7,0.440708,1.518258
72,Bhandara ,MAHARASHTRA ,27,27,27,24,22,21,37,23,26,19,8,2,0.369453,1.390107
73,Bharatpur ,RAJASTHAN ,65,56,47,36,32,29,46,62,29,20,10,4,0.475057,1.352670
74,Bharuch ,GUJARAT ,23,22,22,20,18,18,31,21,20,11,5,1,0.378853,1.274034
75,Bhavnagar ,GUJARAT ,31,31,27,23,20,19,31,29,20,13,7,3,0.379869,1.259169
76,Bhilwara ,RAJASTHAN ,26,23,20,17,16,15,25,26,16,11,5,1,0.442399,1.302612
77,Bhind ,MADHYA PRADESH ,45,42,35,29,26,25,38,41,25,19,9,3,0.463542,1.375077
78,Bhiwani ,Hariyana ,36,37,34,29,25,23,36,33,23,19,8,3,0.502651,1.328859
79,Bhojpur ,BIHAR ,149,112,91,85,78,71,106,156,69,57,25,9,0.405711,1.215986
80,Bhopal ,MADHYA PRADESH ,88,90,89,79,67,61,96,83,55,38,17,8,0.405623,1.351430
81,Bid ,MAHARASHTRA ,24,23,22,19,16,15,25,24,16,17,8,3,0.331468,1.322099
82,Bidar ,KARNATAKA ,35,35,30,25,20,20,31,31,20,19,8,3,0.312641,1.352815
83,Bijapur ,CHHATTISGARH ,3,2,2,2,2,2,3,4,1,0,0,0,0.293721,1.321549
84,Bijapur ,KARNATAKA ,22,20,19,17,13,14,22,22,14,11,5,1,0.293721,1.321549
85,Bijnor ,UTTAR PRADESH ,106,105,78,55,48,49,74,97,44,33,14,6,0.512798,1.363786
86,Bikaner ,RAJASTHAN ,10,8,7,6,5,4,7,10,4,2,1,0,0.488976,1.279578
87,Bilaspur ,CHHATTISGARH ,37,32,29,25,22,21,34,36,20,15,6,2,0.385112,1.433746
88,Bilaspur ,HIMACHAL PRADESH ,28,28,29,27,26,24,40,26,30,20,11,7,0.385112,1.433746
89,Birbhum ,WEST BENGAL ,82,77,72,65,56,57,95,75,62,38,13,4,0.416157,1.529509
90,Bishnupur ,MANIPUR ,51,42,42,45,37,35,53,48,38,23,11,5,0.429838,1.636420
91,Bokaro ,JHARKHAND ,86,74,65,61,53,49,73,80,50,33,10,3,0.412884,1.503512
92,Bongaigaon ,ASSAM ,77,64,63,59,47,46,74,80,44,25,12,5,0.462167,1.580491
93,Budaun ,UTTAR PRADESH ,99,80,58,47,42,41,60,99,37,29,10,4,0.489289,1.381008
94,Bulandshahar  ,UTTAR PRADESH ,98,92,74,56,48,46,71,92,47,34,15,7,0.495796,1.358735
95,Buldana ,MAHARASHTRA ,27,26,26,22,19,17,29,24,20,17,8,2,0.358341,1.329536
96,Bundi ,RAJASTHAN ,22,21,18,15,13,12,20,21,13,8,3,1,0.443851,1.320217
97,Burhanpur ,MADHYA PRADESH ,25,21,20,17,15,13,23,26,14,10,4,1,0.372018,1.330442
98,Buxar ,BIHAR ,132,97,75,72,66,61,92,139,62,54,23,8,0.446174,1.465649
99,Cachar ,ASSAM ,49,46,43,39,33,33,50,50,31,19,8,3,0.433046,1.621265
100,Central ,Delhi,2415,2630,2968,2809,2416,2171,3485,2222,2313,1375,568,239,0.500011,1.347447
101,Chamarajanagar ,KARNATAKA ,15,16,17,16,13,14,23,13,15,12,6,2,0.208169,1.342963
102,Chamba ,HIMACHAL PRADESH ,8,8,7,6,5,5,8,8,6,3,1,0,0.568224,1.328610
103,Chamoli ,UTTARAKHAND ,5,5,4,3,3,3,5,5,3,2,1,0,0.530627,1.384623
104,Champawat ,UTTARAKHAND ,18,15,12,11,9,9,15,16,10,8,3,1,0.511982,1.397887
105,Champhai ,MIZORAM ,4,3,3,3,3,2,3,4,2,1,0,0,0.411188,1.627274
106,Chandauli ,UTTAR PRADESH ,97,83,64,56,51,48,72,100,48,40,17,6,0.440821,1.453298
107,Chandel ,MANIPUR ,4,4,4,4,3,3,5,4,3,1,0,0,0.422710,1.642328
108,Chandigarh ,CHANDIGARH ,819,915,1063,966,796,733,1133,799,718,365,156,66,0.536306,1.340036
109,Chandrapur ,MAHARASHTRA ,17,18,18,16,15,14,24,14,16,11,5,1,0.348274,1.384085
110,Changlang ,ARUNACHAL PRADESH ,3,3,2,2,2,2,2,4,1,1,0,0,0.473539,1.670889
111,Chatra ,JHARKHAND ,39,26,22,21,18,16,24,41,15,11,4,1,0.422473,1.481272
112,Chennai ,TAMIL NADU ,1986,2085,2474,2713,2407,2290,3696,1841,2526,1563,758,291,0.228395,1.399104
113,Chhatarpur ,MADHYA PRADESH ,26,21,17,14,13,12,19,25,12,9,4,1,0.434652,1.389159
114,Chhindwara ,MADHYA PRADESH ,19,19,17,14,12,12,20,17,12,8,4,1,0.385071,1.377701
115,Chikkaballapura ,KARNATAKA ,28,29,27,25,21,23,37,23,24,19,8,3,0.236798,1.359000
