id,name,state,10-14,15-19,20-24,25-29,30-34,35-39,40-49,5-9,50-59,60-69,70-79,80+,latitude,longitude
256,Jhabua ,MADHYA PRADESH ,38,25,21,19,17,16,27,43,16,10,4,1,0.397428,1.301927
257,Jhajjar ,Hariyana ,51,54,53,46,39,36,57,48,37,30,13,6,0.499253,1.337918
258,Jhalawar ,RAJASTHAN ,26,22,21,17,16,15,24,25,14,11,5,2,0.429238,1.329314
259,Jhansi ,UTTAR PRADESH ,43,41,38,34,30,28,43,40,27,20,9,3,0.444140,1.371138
260,Jharsuguda ,ODISHA ,26,27,28,25,21,20,33,22,21,15,6,2,0.381593,1.466304
261,Jhunjhunun ,RAJASTHAN ,43,41,35,27,24,22,37,37,25,17,9,3,0.490847,1.315838
262,Jind ,Hariyana ,53,55,49,41,35,34,54,47,33,28,11,5,0.511552,1.332198
263,Jodhpur ,RAJASTHAN ,20,16,14,13,11,9,15,20,10,6,3,1,0.458065,1.274115
264,Jorhat ,ASSAM ,38,36,35,36,31,31,47,34,29,19,8,2,0.466846,1.644036
265,Junagadh ,GUJARAT ,33,32,28,25,23,22,38,29,24,15,7,3,0.375585,1.229680
266,Jyotiba Phule Nagar ,UTTAR PRADESH ,113,102,75,58,51,50,71,104,43,33,13,6,0.503984,1.366316
267,Kabirdham ,CHHATTISGARH ,22,18,17,14,13,12,20,24,11,8,3,1,0.385446,1.418131
268,Kachchh ,GUJARAT ,4,4,4,4,3,3,4,5,3,1,0,0,0.410433,1.215081
269,Kaimur ,BIHAR ,65,45,35,34,31,29,44,71,29,24,10,4,0.436790,1.458709
270,Kaithal ,Hariyana ,48,49,47,39,33,31,49,43,30,28,11,5,0.520120,1.333557
271,Kalahandi ,ODISHA ,22,17,15,15,14,14,23,21,15,12,4,1,0.346773,1.450362
272,Kamrup ,ASSAM ,52,47,46,46,37,37,56,50,33,21,9,3,0.453795,1.593296
273,Kamrup Metropolitan ,ASSAM ,114,117,130,134,119,118,182,102,108,58,23,8,0.455932,1.605138
274,Kancheepuram ,TAMIL NADU ,70,77,87,92,78,74,115,65,78,49,23,8,0.223920,1.391097
275,Kandhamal ,ODISHA ,10,8,7,7,5,5,10,11,6,5,1,0,0.352762,1.467840
276,Kangra ,HIMACHAL PRADESH ,23,23,23,21,20,19,32,21,24,17,9,4,0.560278,1.331219
277,Kanker (Uttar Bastar Kanker) ,CHHATTISGARH ,11,10,10,8,7,7,12,10,7,4,2,0,0.353828,1.422312
278,Kannauj ,UTTAR PRADESH ,105,97,71,56,50,49,72,98,45,40,15,6,0.472198,1.394872
279,Kanniyakumari ,TAMIL NADU ,90,87,92,98,91,87,151,80,117,81,38,14,0.141097,1.353496
280,Kannur ,KERALA ,70,66,67,66,65,65,118,64,91,61,31,13,0.207118,1.315385
281,Kanpur Dehat ,UTTAR PRADESH ,74,71,52,43,39,39,58,66,37,33,14,6,0.461411,1.393856
282,Kanpur Nagar ,UTTAR PRADESH ,153,167,147,123,107,106,168,134,108,76,31,15,0.458991,1.401930
283,Kanshiram Nagar ,UTTAR PRADESH ,102,86,62,49,44,43,66,97,42,32,13,5,0.368592,1.380728
284,Kapurthala  ,PUNJAB ,46,50,48,41,36,35,64,41,43,30,14,7,0.547637,1.315804
285,Karaikal ,PUDUCHERRY ,111,109,110,116,105,103,173,103,114,74,36,13,0.190807,1.393404
286,Karauli ,RAJASTHAN ,34,29,24,19,16,15,23,32,15,11,5,2,0.462455,1.344260
287,Karbi Anglong ,ASSAM ,11,10,8,8,6,6,9,11,5,2,1,0,0.457015,1.631217
288,Kargil ,JAMMU and KASHMIR ,1,0,1,1,0,0,1,1,0,0,0,0,0.603145,1.328653
289,Karimganj ,ASSAM ,77,68,62,55,45,44,67,84,42,28,13,5,0.434052,1.611893
290,Karimnagar ,ANDHRA PRADESH ,31,31,30,27,23,24,38,24,25,22,10,3,0.321885,1.381026
291,Karnal ,Hariyana ,60,62,62,53,44,41,64,56,40,32,13,6,0.518112,1.343707
292,Karur  ,TAMIL NADU ,30,28,29,31,29,29,51,26,37,28,13,4,0.191073,1.363016
293,Kasaragod ,KERALA ,61,57,59,57,51,50,84,55,59,38,18,7,0.218562,1.309216
294,Kathua ,JAMMU and KASHMIR ,26,24,22,20,19,17,27,25,17,11,6,3,0.565037,1.318129
295,Katihar ,BIHAR ,137,91,79,73,64,61,90,152,56,39,14,4,0.445667,1.528421
296,Katni  ,MADHYA PRADESH ,30,26,23,20,18,17,29,30,17,12,5,2,0.416096,1.403585
297,Kaushambi ,UTTAR PRADESH ,124,100,69,61,57,53,78,125,49,43,17,7,0.444569,1.421545
298,Kendrapara  ,ODISHA ,55,51,49,46,39,38,64,46,45,35,21,7,0.358052,1.508257
299,Kendujhar ,ODISHA ,22,19,19,18,15,15,25,23,16,11,4,1,0.375481,1.495124
300,Khagaria ,BIHAR ,155,96,88,82,75,68,95,172,59,49,16,5,0.445234,1.509313
301,Khammam ,ANDHRA PRADESH ,17,17,17,16,13,13,20,14,12,10,4,1,0.301151,1.398889
302,Khandwa ,MADHYA PRADESH ,21,18,15,13,12,11,18,21,11,8,3,1,0.380966,1.332532
303,Khargone ,MADHYA PRADESH ,28,23,20,17,16,15,24,28,14,10,4,2,0.380805,1.319695
304,Kheda ,GUJARAT ,59,53,51,46,45,42,71,54,49,30,13,4,0.397087,1.268607
305,Kheri ,UTTAR PRADESH ,70,57,42,38,35,34,46,70,28,24,9,4,0.487031,1.410175
306,Khordha  ,ODISHA ,72,75,79,74,66,64,101,66,66,42,21,8,0.352171,1.494292
307,Khunti ,JHARKHAND ,26,20,17,15,13,13,22,25,14,11,3,0,0.402650,1.488457
308,Kinnaur ,HIMACHAL PRADESH ,1,0,1,1,1,1,1,1,1,0,0,0,0.551930,1.368595
309,Kiphire ,NAGALAND ,9,7,6,5,4,3,5,9,2,1,0,0,0.452005,1.653346
310,Kishanganj ,BIHAR ,125,87,66,62,54,53,83,138,49,34,11,3,0.455599,1.535027
311,Kishtwar ,JAMMU and KASHMIR ,17,13,12,11,10,8,13,17,8,6,3,1,0.581430,1.322388
312,Koch Bihar  ,WEST BENGAL ,88,87,82,71,55,60,104,78,68,39,16,7,0.459534,1.561304
313,Kodagu ,KARNATAKA ,12,11,11,11,10,10,18,10,13,8,3,1,0.215173,1.321724
314,Kodarma ,JHARKHAND ,36,26,23,21,19,16,26,38,17,12,5,1,0.426489,1.492769
315,Kohima ,NAGALAND ,21,21,20,18,15,13,18,19,9,4,2,1,0.448092,1.642504
316,Kokrajhar ,ASSAM ,30,27,24,24,19,19,29,31,16,9,4,1,0.460842,1.575519
317,Kolar ,KARNATAKA ,37,39,37,34,28,30,46,32,30,22,11,4,0.229251,1.363570
318,Kolasib ,MIZORAM ,6,5,5,5,4,4,6,6,4,2,1,0,0.422786,1.617548
319,Kolhapur ,MAHARASHTRA ,44,45,46,42,38,38,64,39,45,35,16,6,0.291182,1.295745
320,Kolkata ,WEST BENGAL ,1820,2002,2163,2196,2054,2085,3608,1513,2624,1659,828,372,0.395524,1.543142
321,Kollam ,KERALA ,85,78,80,80,78,84,156,77,125,81,41,18,0.155086,1.336702
322,Koppal ,KARNATAKA ,28,27,24,21,17,17,25,26,15,13,5,1,0.267985,1.329087
323,Koraput ,ODISHA ,16,13,12,12,10,10,18,20,11,9,2,0,0.328298,1.443578
324,Korba  ,CHHATTISGARH ,20,18,18,15,13,12,21,19,12,7,3,1,0.390237,1.443730
325,Koriya ,CHHATTISGARH ,11,10,9,8,6,6,11,10,7,4,1,0,0.410991,1.436869
326,Kota ,RAJASTHAN ,39,42,39,33,28,25,40,36,25,16,7,2,0.438840,1.323820
327,Kottayam ,KERALA ,70,62,58,58,60,69,140,62,114,76,43,22,0.167323,1.335549
328,Kozhikode ,KERALA ,113,104,105,104,100,103,184,105,138,91,43,18,0.196505,1.322639
329,Krishna ,ANDHRA PRADESH ,45,50,50,47,40,40,66,39,42,33,14,5,0.282563,1.416161
330,Krishnagiri ,TAMIL NADU ,35,34,34,34,28,29,45,31,29,19,8,3,0.408409,1.544559
331,Kulgam ,JAMMU and KASHMIR ,120,107,100,83,73,66,103,114,65,43,21,8,0.587209,1.309323
332,Kullu ,HIMACHAL PRADESH ,7,7,8,7,6,5,9,6,6,3,1,0,0.557780,1.345810
333,Kupwara ,JAMMU and KASHMIR ,49,34,29,28,24,20,30,53,16,11,5,3,0.593945,1.296154
334,Kurnool ,ANDHRA PRADESH ,25,23,22,20,17,16,25,23,16,12,4,1,0.276277,1.361847
335,Kurukshetra ,Hariyana ,60,66,67,56,46,44,73,55,45,36,15,7,0.524864,1.340590
336,Kurung Kumey ,ARUNACHAL PRADESH ,2,1,1,1,0,0,1,2,0,0,0,0,0.488011,1.632130
337,Kushinagar ,UTTAR PRADESH ,159,133,94,88,80,75,109,166,73,60,25,12,0.466690,1.464435
338,Lahul & Spiti ,HIMACHAL PRADESH ,0,0,0,0,0,0,0,0,0,0,0,0,0.568110,1.354642
339,Lakhimpur ,ASSAM ,52,45,41,41,35,33,49,53,28,18,8,3,0.487795,1.409794
340,Lakhisarai ,BIHAR ,109,74,63,60,55,50,72,119,46,39,15,4,0.439181,1.502572
341,Lakshadweep ,LAKSHADWEEP ,199,187,194,198,181,179,280,180,198,114,44,16,0.196823,1.292295
342,Lalitpur ,UTTAR PRADESH ,31,23,22,19,16,14,21,31,14,10,4,1,0.430943,1.368554
343,Latehar ,JHARKHAND ,24,16,13,12,10,9,15,24,9,7,2,0,0.414387,1.474825
344,Latur ,MAHARASHTRA ,36,35,32,27,23,23,34,33,22,24,11,4,0.321124,1.336208
345,Lawngtlai ,MIZORAM ,5,4,4,4,3,2,3,6,2,1,0,0,0.393267,1.621394
346,Leh,JAMMU and KASHMIR ,0,0,0,0,0,0,0,0,0,0,0,0,0.596073,1.353962
347,Lohardaga ,JHARKHAND ,43,32,24,21,18,18,29,42,19,15,5,1,0.409217,1.478058
348,Lohit ,ARUNACHAL PRADESH ,3,2,2,2,2,1,2,3,1,0,0,0,0.485837,1.679047
349,Longleng ,NAGALAND ,11,9,8,7,6,5,8,11,4,2,1,0,0.462336,1.654881
350,Lower Dibang Valley ,ARUNACHAL PRADESH ,1,1,1,1,0,0,1,1,0,0,0,0,0.492811,1.671964
351,Lower Subansiri ,ARUNACHAL PRADESH ,3,3,2,2,1,1,2,2,1,0,0,0,0.482096,1.640044
352,Lucknow ,UTTAR PRADESH ,198,204,180,153,131,129,199,179,128,89,35,16,0.467626,1.412179
353,Ludhiana ,PUNJAB ,88,95,98,91,78,73,121,83,80,55,24,11,0.539319,1.323926
354,Lunglei ,MIZORAM ,3,3,3,3,2,2,3,3,2,1,0,0,0.399542,1.618702
355,Madhepura ,BIHAR ,149,88,84,83,77,69,100,176,64,49,16,5,0.453354,1.516256
356,Madhubani ,BIHAR ,172,112,97,93,88,81,118,186,78,65,23,7,0.462774,1.479399
357,Madurai ,TAMIL NADU ,70,70,70,75,66,67,112,63,77,52,22,7,0.173422,1.363630
358,Mahamaya Nagar ,UTTAR PRADESH ,112,101,79,61,53,52,78,105,51,37,17,7,0.368592,1.380728
359,Maharajganj ,UTTAR PRADESH ,121,97,71,66,60,57,82,124,55,42,18,8,0.473756,1.458399
360,Mahasamund ,CHHATTISGARH ,23,22,18,16,15,15,26,20,16,13,5,1,0.368499,1.432883
361,Mahbubnagar ,ANDHRA PRADESH ,24,21,20,20,16,15,23,23,15,12,4,1,0.292240,1.361391
362,Mahe ,PUDUCHERRY ,391,354,368,359,371,373,649,363,489,334,161,61,0.204233,1.318380
363,Mahendragarh ,Hariyana ,51,52,48,40,35,33,52,44,34,29,13,7,0.493395,1.329020
364,Mahesana ,GUJARAT ,45,45,44,38,35,32,57,42,38,25,12,4,0.411947,1.263260
365,Mahoba ,UTTAR PRADESH ,35,28,22,20,18,18,27,33,17,14,7,3,0.441449,1.394085
366,Mainpuri ,UTTAR PRADESH ,90,81,61,47,41,41,62,84,41,33,14,6,0.475242,1.379367
367,Malappuram ,KERALA ,119,110,114,102,84,79,129,114,90,59,26,9,0.192722,1.327916
368,Maldah  ,WEST BENGAL ,135,113,100,85,69,71,114,127,71,44,16,6,0.439370,1.496785
369,Malkangiri   ,ODISHA ,12,8,8,8,7,6,11,14,6,5,1,0,0.320648,1.428923
370,Mamit ,MIZORAM ,3,2,2,2,2,1,2,3,1,0,0,0,0.417605,1.614249
371,Mandi ,HIMACHAL PRADESH ,23,23,22,21,20,19,30,21,22,14,7,4,0.553411,1.342703
372,Mandla ,MADHYA PRADESH ,19,18,16,14,12,13,22,19,13,9,3,1,0.394565,1.402706
373,Mandsaur ,MADHYA PRADESH ,26,24,22,19,18,17,27,25,17,12,6,2,0.420257,1.310188
374,Mandya ,KARNATAKA ,30,32,34,33,27,29,48,26,32,25,12,4,0.218518,1.341997
375,Mansa ,PUNJAB ,34,36,34,28,25,24,41,29,24,25,10,5,0.523510,1.315977
376,Mathura ,UTTAR PRADESH ,96,85,68,52,45,45,69,92,44,31,14,6,0.343151,1.480537
377,Mau ,UTTAR PRADESH ,171,153,106,86,77,76,118,174,80,65,30,12,0.452645,1.458506
378,Mayurbhanj ,ODISHA ,27,22,20,19,16,16,29,27,19,13,5,1,0.382100,1.508162
379,Medak ,ANDHRA PRADESH ,33,30,30,29,23,23,33,29,21,19,8,2,0.314932,1.365934
380,Meerut ,UTTAR PRADESH ,159,160,136,106,87,84,132,147,84,55,24,12,0.505800,1.356111
381,Mewat  ,Hariyana ,106,78,62,46,37,34,51,115,30,27,10,4,0.488879,1.344888
382,Mirzapur ,UTTAR PRADESH ,73,60,49,42,38,35,51,73,33,27,12,5,0.438745,1.441110
383,Moga ,PUNJAB ,41,44,43,38,32,30,52,37,35,31,13,6,0.537876,1.312030
384,Mokokchung ,NAGALAND ,13,12,11,10,10,8,14,11,8,5,3,1,0.459440,1.649706
385,Mon ,NAGALAND ,19,17,13,10,8,7,13,18,8,4,1,0,0.466628,1.659082
386,Moradabad ,UTTAR PRADESH ,176,159,117,89,79,76,110,167,66,48,17,8,0.503308,1.374535
387,Morena ,MADHYA PRADESH ,50,44,37,31,27,25,37,46,23,16,8,3,0.462562,1.361385
388,Morigaon ,ASSAM ,73,59,54,53,43,40,60,80,36,23,11,5,0.457946,1.609701
389,Muktsar ,PUNJAB ,33,35,34,30,27,24,41,30,25,22,9,4,0.531819,1.300611
390,Mumbai ,MAHARASHTRA ,1469,1691,2128,2071,1738,1598,2609,1326,1812,1108,544,249,0.333909,1.272195
391,Mumbai Suburban ,MAHARASHTRA ,1721,1871,2240,2208,1876,1714,2714,1572,1811,1070,466,184,0.333909,1.272195
392,Munger ,BIHAR ,123,92,80,75,67,61,93,125,60,47,18,6,0.442942,1.509204
393,Murshidabad  ,WEST BENGAL ,158,147,132,107,88,89,144,145,92,59,24,9,0.421878,1.540808
394,Muzaffarnagar ,UTTAR PRADESH ,135,125,97,73,64,64,99,126,61,44,20,9,0.514276,1.356259
395,Muzaffarpur ,BIHAR ,196,138,118,111,104,96,139,205,92,85,31,10,0.455925,1.490346
396,Mysore ,KARNATAKA ,41,44,48,45,36,39,61,36,39,28,13,5,0.215019,1.337359
397,Nabarangapur  ,ODISHA ,26,19,18,18,15,15,24,30,15,11,4,1,0.335597,1.440670
398,Nadia  ,WEST BENGAL ,125,128,128,116,97,104,175,106,114,71,36,15,0.408495,1.542186
399,Nagaon ,ASSAM ,84,68,64,61,50,48,72,87,44,28,13,6,0.292468,1.296694
400,Nagapattinam   ,TAMIL NADU ,57,58,56,55,47,47,85,49,59,40,18,6,0.188336,1.393475
401,Nagaur ,RAJASTHAN ,23,20,17,14,12,11,18,22,11,8,4,1,0.474771,1.286895
402,Nagpur ,MAHARASHTRA ,41,43,47,44,39,37,60,36,38,26,12,4,0.369114,1.380523
403,Nainital ,UTTARAKHAND ,24,24,22,19,16,15,24,22,16,11,4,2,0.512990,1.386658
404,Nalanda ,BIHAR ,159,109,95,91,84,75,112,174,72,64,25,8,0.440094,1.491032
405,Nalbari ,ASSAM ,77,71,69,68,58,57,85,71,52,36,17,5,0.489396,1.277562
406,Nalgonda ,ANDHRA PRADESH ,25,24,24,22,18,18,26,21,18,16,7,2,0.297534,1.383604
407,Namakkal    ,TAMIL NADU ,41,48,41,42,38,39,71,34,52,38,18,6,0.195876,1.364321
408,Nanded ,MAHARASHTRA ,35,33,31,26,23,21,31,32,20,19,8,3,0.334528,1.349347
409,Nandurbar ,MAHARASHTRA ,33,29,25,21,18,17,29,31,18,13,6,1,0.373008,1.295863
410,Narayanpur ,CHHATTISGARH ,3,2,2,2,2,2,3,4,1,0,0,0,0.311695,1.343443
411,Narmada ,GUJARAT ,24,20,18,15,15,15,25,21,16,10,4,1,0.379668,1.285482
412,Narsimhapur ,MADHYA PRADESH ,22,20,19,17,15,15,25,20,15,11,5,2,0.400577,1.382040
413,Nashik ,MAHARASHTRA ,40,38,39,35,30,27,42,38,27,20,9,3,0.348765,1.287309
414,Navsari   ,GUJARAT ,52,54,54,50,47,45,80,45,57,35,16,6,0.365584,1.272827
415,Nawada ,BIHAR ,120,84,71,66,59,53,81,132,51,40,16,6,0.434422,1.492942
416,Nayagarh   ,ODISHA ,24,21,21,21,18,18,29,21,21,17,8,3,0.351310,1.485199
417,Neemuch  ,MADHYA PRADESH ,20,19,18,15,15,14,22,19,14,9,4,1,0.427194,1.306596
418,New Delhi ,Delhi,351,404,474,401,317,314,622,295,418,118,54,30,0.498417,1.346760
419,Nicobars ,ANDAMAN and NICOBAR ,1,1,1,2,1,1,2,1,1,0,0,0,0.187534,1.614430
420,Nizamabad ,ANDHRA PRADESH ,33,30,30,28,24,24,36,28,23,20,8,3,0.325816,1.363011
421,North ,Delhi,1410,1450,1522,1455,1260,1159,1785,1307,1068,635,239,97,0.501691,1.347417
422,North & Middle Andaman ,ANDAMAN and NICOBAR ,2,2,2,2,2,2,3,2,2,1,0,0,0.230629,1.622170
423,North District ,SIKKIM ,1,1,1,1,0,0,1,0,0,0,0,0,0.484119,1.545312
424,North East ,Delhi,3975,4035,3959,3442,2852,2614,3904,3716,2158,1459,475,175,0.501002,1.348611
425,North Goa ,GOA ,34,35,41,42,41,41,66,32,46,33,15,5,0.271134,1.290329
426,North Tripura ,TRIPURA ,35,33,34,30,25,24,38,34,24,14,7,3,0.421024,1.609089
427,North Twenty Four Parganas ,WEST BENGAL ,214,226,234,221,192,199,333,186,226,141,68,33,0.396364,1.548297
428,North West ,Delhi,846,846,864,792,677,633,977,783,577,371,136,50,0.502142,1.345466
429,Nuapada ,ODISHA ,17,13,12,11,10,10,18,16,12,11,4,1,0.349867,1.443690
430,Osmanabad ,MAHARASHTRA ,22,21,20,17,14,14,22,19,15,17,9,3,0.317461,1.327066
431,Pakur ,JHARKHAND ,62,42,41,39,34,30,48,70,30,19,5,1,0.429961,1.533223
432,Palakkad ,KERALA ,54,50,54,54,47,48,83,48,61,43,22,8,0.188128,1.337921
433,Palamu ,JHARKHAND ,61,42,35,33,30,26,39,60,26,22,9,3,0.422623,1.469546
434,Pali ,RAJASTHAN ,20,17,13,10,10,9,17,18,12,8,4,1,0.449785,1.279708
435,Palwal  ,Hariyana ,98,87,73,58,47,45,71,94,42,33,15,7,0.491180,1.349667
436,Panchkula ,Hariyana ,59,57,60,59,52,48,74,56,47,34,15,6,0.535638,1.341305
437,Panchmahal ,GUJARAT ,51,44,40,35,33,30,50,49,34,22,9,3,0.499632,1.349313
438,Panipat ,Hariyana ,103,103,99,85,70,65,99,98,60,43,18,9,0.512902,1.343441
439,Panna ,MADHYA PRADESH ,18,14,11,10,9,9,14,17,8,7,3,1,0.431326,1.399443
440,Papum Pare ,ARUNACHAL PRADESH ,6,6,5,5,3,3,5,5,2,0,0,0,0.473991,1.632243
441,Parbhani ,MAHARASHTRA ,32,30,27,23,20,19,29,30,19,19,8,3,0.336272,1.340076
442,Paschim Medinipur ,WEST BENGAL ,62,61,59,55,47,49,80,56,51,32,15,6,0.390751,1.523267
443,Pashchim Champaran ,BIHAR ,100,63,53,54,52,48,68,117,43,36,11,3,0.473175,1.472157
444,Pashchimi Singhbhum ,JHARKHAND ,26,20,18,16,13,13,22,26,13,9,2,0,0.392104,1.491852
445,Patan   ,GUJARAT ,25,23,21,18,17,15,26,24,17,11,5,2,0.416278,1.258895
446,Pathanamthitta ,KERALA ,33,31,31,29,29,32,68,28,59,42,24,12,0.161721,1.340150
447,Patiala ,PUNJAB ,51,57,59,52,44,41,69,48,44,34,14,6,0.529576,1.333312
448,Patna ,BIHAR ,226,179,153,144,132,119,179,232,114,88,36,14,0.446876,1.485046
449,Perambalur   ,TAMIL NADU ,30,30,27,27,23,24,41,26,30,22,9,3,0.196230,1.376551
450,Peren ,NAGALAND ,7,6,5,5,4,3,5,7,2,1,0,0,0.445031,1.633957
451,Phek ,NAGALAND ,10,8,7,6,6,5,7,10,4,2,1,0,0.447968,1.649336
452,Pilibhit ,UTTAR PRADESH ,76,68,49,40,36,35,50,68,30,25,8,4,0.499620,1.392967
453,Pithoragarh ,UTTARAKHAND ,7,6,5,5,4,4,7,6,5,4,2,0,0.516367,1.400308
454,Porbandar  ,GUJARAT ,25,24,22,20,19,18,32,23,21,14,6,3,0.377690,1.215066
455,Prakasam ,ANDHRA PRADESH ,18,17,18,17,14,14,22,17,15,13,5,1,0.271717,1.384782
456,Pratapgarh ,RAJASTHAN ,23,19,17,14,13,12,19,25,12,8,3,1,0.455280,1.451934
457,Pratapgarh ,UTTAR PRADESH ,116,105,70,59,54,53,81,108,55,45,21,9,0.455280,1.451934
458,Puducherry ,PUDUCHERRY ,268,259,280,309,293,283,442,251,288,183,92,35,0.191009,1.392705
459,Pudukkottai ,TAMIL NADU ,31,30,29,30,27,27,45,29,31,22,9,3,0.181124,1.375539
460,Pulwama ,JAMMU and KASHMIR ,51,50,50,45,38,33,54,50,34,23,11,4,0.591214,1.307244
461,Punch ,JAMMU and KASHMIR ,35,27,23,23,20,17,27,35,16,10,5,3,0.589392,1.293151
462,Pune ,MAHARASHTRA ,50,52,65,63,52,45,69,48,46,32,15,6,0.322582,1.289061
463,Purba Champaran ,BIHAR ,172,106,92,93,87,80,114,201,75,61,20,6,0.464404,1.482697
464,Purba Medinipur ,WEST BENGAL ,107,110,107,98,82,82,128,95,84,55,27,11,0.383172,1.532444
465,Purbi Singhbhum ,JHARKHAND ,63,60,60,58,51,48,77,62,50,34,13,4,0.393166,1.508996
466,Puri ,ODISHA ,46,44,46,43,37,37,62,39,41,30,16,6,0.345804,1.498104
467,Purnia ,BIHAR ,136,90,77,72,65,60,89,153,56,41,13,4,0.449868,1.526767
468,Puruliya ,WEST BENGAL ,50,44,40,38,33,34,54,49,36,26,10,3,0.407163,1.507392
469,Rae Bareli ,UTTAR PRADESH ,96,89,63,52,48,47,72,88,46,39,16,6,0.457637,1.418063
470,Raichur ,KARNATAKA ,25,25,22,20,15,15,23,24,14,10,4,1,0.282807,1.350065
472,Raigad ,MAHARASHTRA ,34,33,35,34,30,28,45,30,30,20,9,3,0.323162,1.277270
471,Raigarh ,CHHATTISGARH ,22,20,19,16,15,15,25,20,15,12,5,1,0.382182,1.455517
473,Raipur ,CHHATTISGARH ,37,34,31,27,24,23,36,34,21,15,6,2,0.370534,1.425121
474,Raisen ,MADHYA PRADESH ,19,16,14,12,11,10,15,18,9,6,3,1,0.407216,1.357560
475,Rajgarh ,MADHYA PRADESH ,30,24,22,18,17,16,25,29,15,14,7,3,0.419017,1.339154
476,Rajkot ,GUJARAT ,32,32,32,31,27,24,42,29,28,17,8,4,0.388909,1.235581
477,Rajnandgaon ,CHHATTISGARH ,21,19,17,14,13,13,22,19,13,9,4,1,0.368149,1.414190
478,Rajouri ,JAMMU and KASHMIR ,28,23,21,21,18,15,24,29,14,9,5,2,0.582511,1.296926
479,Rajsamand ,RAJASTHAN ,29,24,21,17,16,16,26,28,18,13,7,2,0.437353,1.289555
480,Ramanagara ,KARNATAKA ,26,28,30,28,22,23,38,22,26,22,10,4,0.222016,1.348840
481,Ramanathapuram ,TAMIL NADU ,30,30,30,30,26,26,42,26,29,21,8,2,0.163454,1.376225
482,Ramban ,JAMMU and KASHMIR ,27,21,18,16,14,12,18,28,11,7,3,1,0.580161,1.313145
483,Ramgarh ,JHARKHAND ,89,80,66,59,50,47,73,80,48,29,10,3,0.412207,1.492670
484,Rampur ,UTTAR PRADESH ,141,131,90,66,60,59,87,129,50,39,13,6,0.502461,1.379293
485,Ranchi ,JHARKHAND ,66,60,51,48,41,39,61,62,39,27,10,3,0.407841,1.488737
486,Rangareddy ,ANDHRA PRADESH ,64,63,71,74,61,55,77,61,47,32,12,5,0.302232,1.360064
487,Ratlam ,MADHYA PRADESH ,34,29,27,23,21,20,33,34,20,14,6,2,0.407209,1.309647
488,Ratnagiri ,MAHARASHTRA ,19,18,14,13,13,14,25,15,18,16,9,3,0.296557,1.279536
489,Rayagada   ,ODISHA ,15,12,11,10,9,9,15,17,9,7,2,0,0.334593,1.455845
490,Reasi ,JAMMU and KASHMIR ,23,17,16,15,12,11,17,22,10,6,3,2,0.577375,1.306072
491,Rewa ,MADHYA PRADESH ,47,40,33,28,24,23,36,43,22,20,10,4,0.428457,1.419371
492,Rewari ,Hariyana ,57,57,57,50,43,39,61,52,40,32,13,7,0.492087,1.337253
493,Ribhoi ,MEGHALAYA ,14,11,9,8,6,6,8,14,4,2,1,0,0.452601,1.606864
494,Rohtak ,Hariyana ,60,64,61,53,44,41,68,55,47,35,16,7,0.504343,1.337102
495,Rohtas ,BIHAR ,101,71,60,57,53,48,71,106,45,38,15,5,0.429842,1.464612
496,Rudraprayag ,UTTARAKHAND ,14,13,10,9,7,7,12,12,9,8,3,1,0.532912,1.379517
497,Rupnagar ,PUNJAB ,46,51,49,42,37,35,63,41,42,30,15,8,0.540440,1.335541
498,SabarKantha ,GUJARAT ,35,31,28,26,24,22,38,33,26,16,7,2,0.412417,1.274125
499,Sagar ,MADHYA PRADESH ,27,23,22,19,16,15,23,26,14,11,5,1,0.416019,1.374383
500,Saharanpur ,UTTAR PRADESH ,119,116,93,69,59,58,91,108,54,38,17,8,0.523027,1.353386
501,Saharsa ,BIHAR ,149,89,87,84,77,68,100,174,64,50,17,6,0.451750,1.511492
502,Sahibganj ,JHARKHAND ,71,49,44,42,37,35,53,79,33,23,7,2,0.440467,1.529704
503,Sahibzada Ajit Singh Nagar ,PUNJAB ,80,84,89,86,77,70,109,78,71,52,22,9,0.539038,1.324179
504,Saiha ,MIZORAM ,4,4,4,3,2,2,3,4,2,1,0,0,0.392556,1.622832
505,Salem ,TAMIL NADU ,58,57,58,59,51,53,91,51,63,44,20,7,0.203298,1.362414
506,Samastipur ,BIHAR ,201,127,117,108,99,87,127,210,87,73,26,8,0.451357,1.497110
507,Samba ,JAMMU and KASHMIR ,33,34,33,32,28,26,43,32,26,17,9,5,0.568293,1.311062
508,Sambalpur ,ODISHA ,15,15,15,13,11,11,19,13,13,9,4,1,0.441006,1.536153
509,Sangli ,MAHARASHTRA ,30,29,30,26,23,23,40,26,29,23,12,5,0.294209,1.302112
510,Sangrur ,PUNJAB ,42,47,46,39,33,31,55,38,35,29,13,7,0.527934,1.323718
511,Sant Kabir Nagar ,UTTAR PRADESH ,142,118,84,71,64,61,87,143,61,58,22,8,0.468894,1.448895
512,Sant Ravidas Nagar ,UTTAR PRADESH ,210,180,137,115,101,91,133,205,87,73,31,13,0.442415,1.439340
513,Saraikela-Kharsawan ,JHARKHAND ,44,38,35,33,28,27,43,45,27,22,7,2,0.396173,1.499788
514,Saran ,BIHAR ,206,152,111,103,96,90,133,210,89,83,35,12,0.451963,1.480005
515,Satara ,MAHARASHTRA ,25,25,25,23,20,20,35,22,26,21,11,4,0.308703,1.291824
