District,State,Density,Latitude,Longitude
Thane,Maharashtra,1157.1613308223477,0.3350508914119365,1.2736980737531824
North Twenty Four Parganas,West Bengal,2444.9880312652663,0.3963642731279123,1.5482972874074377
South Twenty Four Parganas,West Bengal,819.4739959839358,0.38635830052622877,1.5456024990423585
Bulandshahar,Uttar Pradesh,775.5254875886525,0.4957956806140292,1.3587353320190816
Ribhoi,Meghalaya,105.73529411764706,0.4526005269564215,1.6068635557873594
Nicobars,Andaman and Nicobar,20.011950027159152,0.18753388279753871,1.6144295580947547
Bangalore,Karnataka,4381.398451730419,0.22637864621491785,1.3544590135523078
Pune,Maharashtra,602.7877005689446,0.32258171818362086,1.289061229774107
Mumbai Suburban,Maharashtra,20979.735426008967,0.3339090097488192,1.2721952405474601
Barddhaman,West Bengal,1098.7418849658313,0.40551794909596933,1.533586901980051
Ahmadabad,Gujarat,889.8760330578513,0.401980271421932,1.2658988605511354
Murshidabad,West Bengal,1334.2988354620586,0.4218777928395382,1.5408082715733478
Jaipur,Rajasthan,594.6493762900476,0.4695771526043527,1.3222055384149627
Nashik,Maharashtra,393.25093367675464,0.34876544432801265,1.2873093206308328
Surat,Gujarat,1336.848098483183,0.36978416525710006,1.2714651518680584
Allahabad,Uttar Pradesh,1086.1712878511491,0.44415887551000804,1.4282412892439187
Paschim Medinipur,West Bengal,631.240072587532,0.3907511371738658,1.5232667875663013
Patna,Bihar,1823.3806995627733,0.4468760739026829,1.4850457524637073
Hugli,West Bengal,1752.6659256906955,0.39920809515781924,1.5388718113149675
Rangareddy,Andhra Pradesh,706.8918991058321,0.3022321913963331,1.3600644351510602
Nadia,West Bengal,1315.9154570919277,0.40849530626694647,1.5421860868447497
East Godavari,Andhra Pradesh,476.9405015267882,0.29621584947849094,1.4353725998478124
Purba Champaran,Bihar,1285.1237399193549,0.46440361272900604,1.482696609103693
Purba Medinipur,West Bengal,1081.2380649267982,0.38317187036415523,1.532443990572675
Guntur,Andhra Pradesh,429.094284961812,0.2845313937351645,1.404015839973557
Haora,West Bengal,3306.0865712338104,0.3947167870337847,1.5410907356594905
Muzaffarpur,Bihar,1513.5756620428751,0.45592525700842307,1.4903462999487216
Belgaum,Karnataka,355.81485892950195,0.2768998194077717,1.3004217175016783
Moradabad,Uttar Pradesh,1283.487358795051,0.5033075253547352,1.374534680726665
Ghaziabad,Uttar Pradesh,3970.860899067006,0.5006653935731886,1.3514477271806717
Nagpur,Maharashtra,470.4377274565305,0.3691137319315314,1.3805226610441623
Chennai,Tamil Nadu,26552.754285714287,0.22839532180571973,1.399103907499792
Azamgarh,Uttar Pradesh,1138.1137148495313,0.4552795026384777,1.4519343956391295
Lucknow,Uttar Pradesh,1815.6004746835442,0.4676256301545277,1.4121793906569577
Kanpur Nagar,Uttar Pradesh,1452.0659270998415,0.45899132926527914,1.4019303984102267
Ahmadnagar,Maharashtra,266.4921984983576,0.41174128706309804,1.2735691811879226
Krishna,Andhra Pradesh,517.634696917612,0.28256301140476536,1.4161608008400224
Kolkata,West Bengal,24306.454054054055,0.3955235305739341,1.543141898956312
Jaunpur,Uttar Pradesh,1112.9777117384845,0.4496781825634673,1.4431254396516338
Madhubani,Bihar,1281.7420736932304,0.4627740511662965,1.479398687309002
Sitapur,Uttar Pradesh,780.7752045969006,0.4813015763875498,1.4079754509942641
Bareilly,Uttar Pradesh,1079.698786407767,0.49504662020565826,1.3862565912357392
Gorakhpur,Uttar Pradesh,1337.2161999397772,0.46684955204933587,1.4550712235438614
Agra,Uttar Pradesh,1093.4909675822817,0.47458656171684177,1.3612689741343242
Gaya,Bihar,882.519694533762,0.4327581753964709,1.4834535584002828
Solapur,Maharashtra,289.879556898288,0.30826865696045086,1.3250131448628908
