id,name,state,pop_density,latitude,longitude
445,Goalpara,Assam,553,0.456723,1.581525
446,Baramula,Jammu and Kashmir,238,0.597088,1.297524
447,Lakhisarai,Bihar,815,0.439181,1.502572
448,Mandi,Himachal Pradesh,253,0.553411,1.342703
449,Moga,Punjab,444,0.537876,1.312030
450,Sahibzada Ajit Singh Nagar,Punjab,909,0.539038,1.324179
451,Chitrakoot,Uttar Pradesh,308,0.439455,1.411567
452,Bangalore Rural,Karnataka,431,0.221113,1.349295
453,Rayagada,Odisha,137,0.334593,1.455845
454,Kurukshetra,Hariyana,630,0.524864,1.340590
455,Nayagarh,Odisha,248,0.351310,1.485199
456,Jhajjar,Hariyana,523,0.499253,1.337918
457,Morigaon,Assam,617,0.457946,1.609701
458,Karbi Anglong,Assam,92,0.457015,1.631217
459,Nainital,Uttarakhand,225,0.512990,1.386658
460,Puducherry,Puducherry,3232,0.191009,1.392705
461,Baksa,Assam,387,0.396639,1.540108
462,Ramgarh,Jharkhand,708,0.412207,1.492670
463,Fatehabad,Hariyana,371,0.515095,1.316867
464,Darrang,Assam,586,0.465389,1.620041
465,Mahendragarh,Hariyana,486,0.493395,1.329020
466,Muktsar,Punjab,348,0.531819,1.300611
467,Pakur,Jharkhand,497,0.429961,1.533223
468,Rewari,Hariyana,565,0.492087,1.337253
469,North,Delhi,14557,0.501691,1.347417
470,Kokrajhar,Assam,269,0.460842,1.575519
471,South Tripura,Tripura,287,0.408447,1.598979
472,Mahoba,Uttar Pradesh,279,0.441449,1.394085
473,Kupwara,Jammu and Kashmir,366,0.593945,1.296154
474,Pratapgarh,Rajasthan,195,0.455280,1.451934
475,Jashpur,Chhattisgarh,146,0.399335,1.468431
476,Sindhudurg,Maharashtra,163,0.283181,1.285576
477,Ashoknagar,Madhya Pradesh,181,0.428868,1.356744
478,Udalguri,Assam,413,0.466774,1.607428
479,Neemuch,Madhya Pradesh,194,0.427194,1.306596
480,East Khasi Hills,Meghalaya,301,0.499606,1.349037
481,Kabirdham,Chhattisgarh,194,0.385446,1.418131
482,North Goa,Goa,471,0.271134,1.290329
483,Wayanad,Kerala,384,0.203964,1.328073
484,Kapurthala,Punjab,499,0.547637,1.315804
485,Shimla,Himachal Pradesh,159,0.542852,1.346896
486,Tapi,Gujarat,257,0.367370,1.281148
487,Dhamtari,Chhattisgarh,196,0.361382,1.423272
488,Jamtara,Jharkhand,437,0.418236,1.515020
489,Datia,Madhya Pradesh,271,0.454315,1.364038
490,Nalbari,Assam,733,0.489396,1.277562
491,Mansa,Punjab,350,0.523510,1.315977
492,Burhanpur,Madhya Pradesh,221,0.372018,1.330442
493,Ariyalur,Tamil Nadu,389,0.194445,1.380169
494,Badgam,Jammu and Kashmir,554,0.593683,1.304119
495,Anuppur,Madhya Pradesh,200,0.403231,1.425774
496,Kanker (Uttar Bastar Kanker),Chhattisgarh,105,0.353828,1.422312
