District,State,Density,Latitude,Longitude
Coimbatore,Tamil Nadu,730.778740490279,11.045692,76.978606

Meerut,Uttar Pradesh,1345.716686205549,28.980203,77.699436

Gonda,Uttar Pradesh,857.8363727204596,27.135479,81.957688

Sitamarhi,Bihar,1492.4036617262423,26.589486,85.509449

Rae Bareli,Uttar Pradesh,738.8932523323931,26.220643,81.249029

Prakasam,Andhra Pradesh,192.75207080449337,15.568231,79.342147

Nanded,Maharashtra,319.2716565349544,19.167048,77.311895

Durg,Chhattisgarh,391.7834797891037,21.195472,81.287893

Siwan,Bihar,1500.8850833708877,26.226408,84.361411

Nagaur,Rajasthan,186.68828310193024,27.202368,73.733631

Thiruvananthapuram,Kerala,1508.1895842850618,8.487468,76.952869

Ernakulam,Kerala,1071.6252040483187,9.966325,76.299943

Indore,Madhya Pradesh,840.6097998973833,22.724699,75.86646

Purnia,Bihar,1011.0309693403531,25.775553,87.477331

Barabanki,Uttar Pradesh,740.731258518855,26.927434,81.195264

Ballia,Uttar Pradesh,1086.8077826232807,28.200599,79.36449

Pratapgarh,Uttar Pradesh,863.3685768092548,26.085594,83.189713

Thrissur,Kerala,1031.1199207135778,10.524405,76.240647

Banaskantha,Gujarat,290.4687703620962,24.306234,71.749611

Unnao,Uttar Pradesh,681.958534444932,26.532613,80.481301

Deoria,Uttar Pradesh,1220.8448818897639,26.184538,85.010042

Kozhikode,Kerala,1316.1164179104478,11.25889,75.781639

Mumbai,Maharashtra,19652.299363057326,19.131577,72.891418

Tirunelveli,Tamil Nadu,459.76886299118485,8.70811,77.741555

Katihar,Bihar,1004.5891396794243,25.534829,87.572068

Udaipur,Rajasthan,261.7212555441829,24.591951,73.710029

Madurai,Tamil Nadu,818.9358490566037,9.936326,78.130261

Bhagalpur,Bihar,1182.4702218762163,25.250719,86.989792

Medak,Andhra Pradesh,312.7423445716053,18.044263,78.262278

Uttar Dinajpur,West Bengal,957.6859872611465,25.641851,88.212459

Shahjahanpur,Uttar Pradesh,685.172743846855,27.87858,79.908219

Satara,Maharashtra,286.6165076335878,17.687352,74.016089

Mysore,Karnataka,475.840653242429,12.31968,76.625018

Begusarai,Bihar,1548.7700729927008,25.417058,86.135659

Sri Potti Sriramulu Nellore,Andhra Pradesh,226.64094524319364,14.44578,79.743449

Rohtas,Bihar,762.668899768101,24.628122,83.916087

Puruliya,West Bengal,468.14427224796293,23.328721,86.367221

Ranchi,Jharkhand,571.758485383559,23.367543,85.298354

Amravati,Maharashtra,236.56388206388206,20.942354,77.760046

YSR,Andhra Pradesh,187.67296047919785,17.077139,81.665394

Bhavnagar,Gujarat,287.06049431931433,21.764906,72.145077

Nalanda,Bihar,1221.9333333333334,25.215537,85.429865

Nagaon,Assam,710.7394915680845,16.757161,74.295116

Sangli,Maharashtra,329.2280681287914,16.856921,74.605523

Koch Bihar,West Bengal,832.3253616770003,26.329351,89.456107

Araria,Bihar,993.4872791519434,26.132905,87.461629

Palakkad,Kerala,626.9375278893351,10.778913,76.657245

Khammam,Andhra Pradesh,174.5193087528854,17.254688,80.150425

Yavatmal,Maharashtra,204.11927551170666,20.384363,78.117778

Junagadh,Gujarat,310.6196353753822,21.519407,70.455467

Adilabad,Andhra Pradesh,170.21043154299906,19.670848,78.52906

South,Delhi,11060.44129554656,28.529515,77.247079

Bhojpur,Bihar,1139.2096033402922,23.245541,69.670843

Tiruchirappalli,Tamil Nadu,603.7458416500333,10.798335,78.691962

Srikakulam,Andhra Pradesh,463.0998800753812,18.297064,83.902562

Maharajganj,Uttar Pradesh,909.4522357723578,27.144224,83.560092

Dhanbad,Jharkhand,1315.925,23.808815,86.431614

Tumkur,Karnataka,252.80551099367744,13.332665,77.108301

Sikar,Rajasthan,346.2665545783756,27.600844,75.153423

Bilaspur,Chhattisgarh,322.0054400386847,22.06529,82.147579

Kollam,Kerala,1061.3672976238422,8.885775,76.587409

Raigad,Maharashtra,368.3165548098434,18.5158,73.1822

Fatehpur,Uttar Pradesh,634.0879094412331,25.934992,80.809983

Cuttack,Odisha,667.4643947100712,20.462494,85.896474

Cuddalore,Tamil Nadu,703.7304887928707,11.759853,79.766806

Barmer,Rajasthan,91.72335928417938,25.750564,71.406526

Buldana,Maharashtra,267.70085912431426,20.531424,76.176778

Bid,Maharashtra,241.75151968577575,18.991705,75.750717

Ajmer,Rajasthan,304.5692724914515,26.46962,74.638119

Gulbarga,Karnataka,234.2820887347088,17.340936,76.831793

Gopalganj,Bihar,1260.212493851451,26.413299,84.460583

Siddharthnagar,Uttar Pradesh,884.040414507772,27.260849,82.907997

Nizamabad,Andhra Pradesh,320.68061840120663,18.667869,78.094765

Bharatpur,Rajasthan,503.0521121200158,27.218783,77.502265

Mathura,Uttar Pradesh,762.6299401197605,19.661128,84.828527

West,Delhi,19563.407692307694,28.650449,77.063972

Aurangabad,Bihar,768.5546142208775,24.752063,84.370588

Kannur,Kerala,852.0780141843971,11.867003,75.365998

Mayurbhanj,Odisha,241.86388942215396,21.892722,86.411301

Firozabad,Uttar Pradesh,1037.8712089738262,27.155532,78.399538

Mirzapur,Uttar Pradesh,566.8490351872872,25.138213,82.569515

Amritsar,Punjab,928.3101006336191,31.642889,74.86655

Tiruppur,Tamil Nadu,477.93560825139775,11.126384,77.332547

Faizabad,Uttar Pradesh,1055.5301153353269,26.77155,82.149511

Tiruvannamalai,Tamil Nadu,398.3314479638009,12.237161,79.057807

Basti,Uttar Pradesh,916.8392857142857,26.796713,82.741601

Jabalpur,Madhya Pradesh,472.7094607560929,23.169279,79.936403

Latur,Maharashtra,342.9084812072097,18.399058,76.559101

Bellary,Karnataka,289.87058267344287,15.143483,76.92699

Giridih,Jharkhand,492.8403869407497,24.186861,86.302309

Sabarkantha,Gujarat,328.4540167703543,23.62974,73.00197

Bhilwara,Rajasthan,230.37044476327117,25.347615,74.634188

Thanjavur,Tamil Nadu,705.3327469950161,10.763667,79.124513

Ambedkar Nagar,Uttar Pradesh,1020.3778723404255,26.425975,82.624248

Panchmahal,Gujarat,457.03995411967117,28.626833,77.309939

Sagar,Madhya Pradesh,231.9994147483418,23.836105,78.746355

Bhopal,Madhya Pradesh,855.3611111111111,23.2405,77.43121

Rewa,Madhya Pradesh,374.5812480202724,24.548791,81.323963

Bikaner,Rajasthan,78.17510499685837,28.016285,73.314419

Surguja,Chhattisgarh,150.00546656496314,23.447543,83.204413

Vizianagaram,Andhra Pradesh,358.5370851812204,18.115091,83.412074

Rampur,Uttar Pradesh,986.8267849598648,28.788867,79.027659

Baleshwar,Odisha,609.7028376248029,21.495909,86.920212

Kheda,Gujarat,581.8074879838098,22.751436,72.685843

Gurdaspur,Punjab,647.2326105322444,32.040447,75.405183

Purbi Singhbhum,Jharkhand,643.9974733295901,22.526738,86.459087

South West,Delhi,5446.456057007126,28.581025,76.9781

Erode,Tamil Nadu,390.9277777777778,11.357009,77.685255

Khordha,Odisha,800.4525417703519,20.177899,85.61664

North East,Delhi,36155.22580645161,28.70528,77.269741

Supaul,Bihar,919.2065979381443,26.120182,86.598191

Satna,Madhya Pradesh,297.1121034390829,24.576311,80.847366

Nawada,Bihar,889.793905372895,24.890564,85.539258

Mau,Uttar Pradesh,1287.780502043199,25.934636,83.566257

Chandrapur,Maharashtra,192.63366250109237,19.954632,79.302236

Jalandhar,Punjab,835.9717987804878,31.323165,75.584922

Dhar,Madhya Pradesh,268.0967741935484,22.596029,75.306449

Bijapur,Karnataka,207.40436273575918,16.828949,75.71919

